City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Upernavik,GL,2021-09-02 14:55:01,72.7868,-56.1549,38.48,55,0,8.12
68,Tasiilaq,GL,2021-09-02 14:55:03,65.6145,-37.6368,40.96,93,100,19.91
69,Kodiak,US,2021-09-02 14:55:04,57.79,-152.4072,52.65,92,100,9.37
70,Port Alfred,ZA,2021-09-02 14:55:06,-33.5906,26.891,66.97,77,83,14.92
71,Carnarvon,AU,2021-09-02 14:55:08,-24.8667,113.6333,62.67,64,0,19.57
72,Norman Wells,CA,2021-09-02 14:55:11,65.282,-126.8329,51.84,87,40,5.75
73,Nanortalik,GL,2021-09-02 14:55:13,60.1432,-45.2371,43.05,97,100,6.93
74,Eatonton,US,2021-09-02 14:55:15,33.3268,-83.3885,80.82,70,0,6.53
75,Poienile Izei,RO,2021-09-02 14:55:17,47.7,24.1167,64.11,59,33,8.57
76,Constitucion,CL,2021-09-02 14:55:19,-35.3333,-72.4167,59.13,64,40,3.29
77,Kijang,KR,2021-09-02 14:52:02,35.2442,129.2139,71.33,86,100,7.4
78,Bluff,NZ,2021-09-02 14:55:21,-46.6,168.3333,38.8,84,57,11.07
79,Taltal,CL,2021-09-02 14:55:22,-25.4,-70.4833,62.1,71,23,5.32
80,Chepareria,KE,2021-09-02 14:55:24,1.3077,35.2039,68.68,75,39,1.3
81,Hermanus,ZA,2021-09-02 14:52:02,-34.4187,19.2345,67.8,66,100,5.19
82,Bom Jesus,BR,2021-09-02 14:55:27,-9.0744,-44.3586,83.32,43,100,5.35
83,Ilulissat,GL,2021-09-02 14:55:29,69.2167,-51.1,36.63,57,0,2.48
84,Esperance,AU,2021-09-02 14:55:31,-33.8667,121.9,44.44,72,78,13.94
85,Barrow,US,2021-09-02 14:55:32,71.2906,-156.7887,31.3,85,43,14.0
86,Jeremie,HT,2021-09-02 14:55:33,18.65,-74.1167,84.45,71,96,4.97
87,Muros,ES,2021-09-02 14:55:35,42.7762,-9.0603,73.24,85,80,4.72
88,Freeport,US,2021-09-02 14:55:36,40.6576,-73.5832,73.18,66,16,1.99
89,Arraial Do Cabo,BR,2021-09-02 14:55:38,-22.9661,-42.0278,76.96,69,0,20.71
90,Guerrero Negro,MX,2021-09-02 14:55:00,27.9769,-114.0611,69.4,71,73,11.56
91,Saint-Philippe,RE,2021-09-02 14:55:40,-21.3585,55.7679,72.99,79,23,12.62
92,Reconquista,AR,2021-09-02 14:55:42,-29.15,-59.65,72.03,62,100,6.93
93,San Patricio,US,2021-09-02 14:55:44,28.017,-97.5169,90.88,60,3,8.61
