City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
216,Glendora,US,81.21,clear sky,34.1361,-117.8653,Garden Inn & Suites Glendora
217,Lasa,IT,76.91,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
221,Anloga,GH,86.22,broken clouds,5.7947,0.8973,Pin Drop Hotel
222,Chuncheng,CN,77.92,light rain,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
225,Pithora,IN,76.8,scattered clouds,21.2667,82.5167,Megha creation's home
229,Buala,SB,79.03,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
235,Meulaboh,ID,76.12,overcast clouds,4.1363,96.1285,Kost Pria
236,Sibu,MY,77.31,light rain,2.3,111.8167,RH HOTEL (4 Star)
237,Chimore,BO,89.15,overcast clouds,-16.9833,-65.1333,Bichito
238,San Policarpo,PH,79.97,overcast clouds,12.1791,125.5072,Manong Aklan Resort
245,Zaraza,VE,83.68,broken clouds,9.3503,-65.3245,Hotel Zaraza
246,Gafanha Da Encarnacao,PT,77.05,overcast clouds,40.6181,-8.733,Hotel Barra
248,Bubaque,GW,80.51,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
253,Boa Vista,BR,85.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
258,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
263,Myitkyina,MM,79.61,clear sky,25.3833,97.4,Shwe Phyu Hotel
264,Yenagoa,NG,84.09,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
266,Lamu,KE,82.62,broken clouds,-2.2717,40.902,Lamu House
267,Natal,BR,86.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
277,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
279,Kariba,ZW,89.8,clear sky,-16.5167,28.8,Caribbea Bay Hotel
280,Camacha,PT,78.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
285,Harper,LR,81.01,overcast clouds,4.375,-7.7169,Screensaver
292,Mitsamiouli,KM,75.49,broken clouds,-11.3847,43.2844,Foyer ADM
295,Deogarh,IN,79.48,overcast clouds,21.5333,84.7333,Hotel Mamta Palace
300,Muli,MV,83.08,broken clouds,2.9167,73.5667,Medhufushi Island Resort
301,Sola,VU,78.08,overcast clouds,-13.8833,167.55,Leumerus Bungalows
303,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Poutur Pousada
304,Roma,US,75.09,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
313,Davila,PH,82.02,moderate rain,18.4726,120.5763,Blue Ridge Beach Resort
316,Yarada,IN,86.32,scattered clouds,17.65,83.2667,Jeevan
321,Sokoni,TZ,86.29,clear sky,-6.4333,39.55,Ujamaa Beach Resort
323,Nouadhibou,MR,89.58,clear sky,20.931,-17.0347,El Medina
328,Celestun,MX,78.82,overcast clouds,20.8667,-90.4,Posada Lilia
329,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
330,Capelinha,BR,82.42,clear sky,-17.6914,-42.5158,Marinho Plaza Hotel
333,Debno,PL,79.18,clear sky,52.739,14.698,Domek na plaży
335,Auki,SB,76.14,overcast clouds,-8.7676,160.7034,Auki Motel
337,Tigzirt,DZ,86.07,overcast clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
342,Basco,PH,84.0,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
346,Mogadishu,SO,84.07,broken clouds,2.0371,45.3438,Hotel Juba
348,Santa Cruz,BO,81.86,smoke,-17.8,-63.1667,Aviador Hotel Boutique
351,Alamos,MX,75.16,few clouds,27.0167,-108.9333,Luz del Sol
359,Ocos,GT,86.32,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
367,Bose,IT,80.29,overcast clouds,45.4612,8.0137,Locanda Borgo Antico
368,Puerto Colombia,CO,82.49,broken clouds,10.9878,-74.9547,Hotel El Emigrante
370,Bahar,IR,83.5,clear sky,34.9072,48.4414,محمد رضا علیزاده
376,Dingli,MT,78.96,scattered clouds,35.8614,14.3822,The Xara Palace Relais & Chateaux
377,Ushtobe,KZ,78.6,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
380,Cabedelo,BR,83.07,few clouds,-6.9811,-34.8339,Hotel Pigalle
381,Den Helder,NL,82.02,few clouds,52.9599,4.7593,Hotel Den Helder
383,Coromandel,BR,86.63,clear sky,-18.4733,-47.2003,Hotel Dona Adélia
385,Sao Filipe,CV,78.01,broken clouds,14.8961,-24.4956,Hotel Xaguate
389,Phan Thiet,VN,77.94,overcast clouds,10.9333,108.1,Hotel Saigon-PT
390,Villanueva De La Serena,ES,81.82,clear sky,38.9766,-5.7974,Hotel Veracruz
394,Wum,CM,76.62,moderate rain,6.3833,10.0667,Wum Council Hall
396,Palmer,US,75.31,broken clouds,42.1584,-72.3287,Wedgewood Motel
401,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
403,Axim,GH,82.0,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
404,Norfolk,US,77.14,clear sky,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
408,Russell,US,77.52,light intensity drizzle,32.3502,-85.1999,Macs
410,Ixtapa,MX,75.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
413,Brokopondo,SR,82.15,broken clouds,4.75,-55.1667,Matu Island
414,Puerto Del Rosario,ES,87.48,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
416,Westport,US,78.28,clear sky,41.1415,-73.3579,The Westport Inn
418,Port Moresby,PG,78.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
420,Rio Tuba,PH,79.18,moderate rain,8.5061,117.4317,Jjas Pension House
422,Muncar,ID,75.34,scattered clouds,-8.4333,114.3333,Zaky Homestay
430,Tual,ID,80.24,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
431,Puerto Wilches,CO,81.34,broken clouds,7.3483,-73.896,Apartahotel Altamira
439,Zaragoza,ES,89.46,scattered clouds,41.6561,-0.8773,Hotel Goya
440,Eufaula,US,78.26,overcast clouds,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
448,Pistoia,IT,81.86,clear sky,43.9667,10.8333,Albergo Ristorante Amelia Pistoia
449,Mahenge,TZ,83.05,broken clouds,-8.6833,36.7167,Mkondosii Guest House
456,Kudat,MY,80.53,few clouds,6.8837,116.8477,Dream Garden Hotel
459,Benguela,AO,77.0,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
460,Mazagao,BR,89.65,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
465,Katobu,ID,75.58,overcast clouds,-4.9408,122.5276,La Ode Husein
468,Kattivakkam,IN,87.89,overcast clouds,13.2167,80.3167,Euronova Freezer
474,Nara,JP,76.28,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
476,Zerbst,DE,80.74,scattered clouds,51.9667,12.0833,Sporthotel Wallwitz
477,North Myrtle Beach,US,83.07,broken clouds,33.816,-78.68,Avista Resort
478,Zharkent,KZ,81.39,clear sky,44.1628,80.0,гостиница Satti
482,Ukiah,US,79.02,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
485,Marsassoum,SN,89.69,broken clouds,12.8275,-15.9806,Djinoubor keur Samba ba
488,Bonthe,SL,83.98,broken clouds,7.5264,-12.505,Bonthe Holiday Village
490,Dhidhdhoo,MV,82.67,scattered clouds,6.8833,73.1,Dhidhoo beach
491,Honiara,SB,76.53,scattered clouds,-9.4333,159.95,Heritage Park Hotel
493,Macas,EC,75.81,overcast clouds,-2.3167,-78.1167,Casa Upano
498,Tiverton,GB,75.81,few clouds,50.9,-3.4833,Best Western Tiverton Hotel
500,Bastia,FR,84.0,clear sky,42.6667,9.3333,Hotel Santa Maria
502,Nantucket,US,76.08,few clouds,41.2835,-70.0995,Jared Coffin House
505,Mlowo,TZ,77.61,overcast clouds,-9.0,32.9833,Mchacho Drinks & Guest house
507,Vire,FR,76.39,broken clouds,48.9167,-0.8333,la Maison de la Fontaine
515,Bandarbeyla,SO,79.75,overcast clouds,9.4942,50.8122,JABIR HOTEL
517,Morant Bay,JM,84.65,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
521,La Orilla,MX,76.57,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
522,Lata,PT,80.35,overcast clouds,40.1629,-8.3327,Casa Maquia
524,Jiwani,PK,81.28,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
527,Chatrapur,IN,82.96,overcast clouds,19.35,84.9833,Circuit House
530,Tilhar,IN,81.12,broken clouds,27.9833,79.7333,रस्तोगी धर्मशाला
534,Marsh Harbour,BS,83.07,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
538,Wanning,CN,80.46,clear sky,18.8003,110.3967,Paradise Hotel
539,Port Blair,IN,80.46,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
540,Martapura,ID,77.09,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
541,Aksu,CN,84.16,clear sky,41.1231,80.2644,Pudong Holiday Hotel
543,Ban Tak,TH,75.13,overcast clouds,17.0432,99.0813,Bansuansiriwat
544,Sri Aman,MY,78.85,light rain,1.2376,111.4621,Seri Simanggang Hotel
545,Kumluca,TR,83.73,clear sky,36.3703,30.2869,TurkuazKöy
546,Pathein,MM,79.3,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
547,Itoman,JP,84.22,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
549,Shahreza,IR,81.86,clear sky,32.0339,51.8794,خوابگاه
550,Tecoanapa,MX,78.82,broken clouds,16.5167,-98.75,Hotel Manglares
551,Semme,FR,75.61,broken clouds,46.1963,1.5007,Inter-Hotel Alexia
552,Kudahuvadhoo,MV,83.1,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
556,Banda Aceh,ID,79.2,overcast clouds,5.5577,95.3222,Sulthan Hotel International
558,Cetate,RO,78.85,overcast clouds,44.1,23.05,Cetate Pe Roate
559,Akyab,MM,81.36,light rain,20.15,92.9,Hotel Memory
561,Carutapera,BR,85.08,broken clouds,-1.195,-46.02,Lidera
566,Kaabong,UG,75.07,overcast clouds,3.4836,34.1492,Rock Motel Ltd
567,Ilhabela,BR,75.34,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
569,Ko Samui,TH,82.31,few clouds,9.5357,99.9357,The Passage
571,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
572,Szigetvar,HU,78.33,clear sky,46.0486,17.8055,Hotel Kumilla
573,Kota Bahru,MY,76.95,scattered clouds,6.1333,102.2386,Grand Riverview Hotel
576,Ortigueira,BR,83.77,overcast clouds,-24.2083,-50.9494,Village das Araucárias
577,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
578,Caceres,ES,77.81,broken clouds,39.522,-6.3748,Ahc Hoteles
579,Road Town,VG,87.01,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
583,Kavaratti,IN,81.81,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
587,Balkanabat,TM,87.1,clear sky,39.5108,54.3671,Nebitchi Hotel
588,Vaitape,PF,78.62,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
590,Tagusao,PH,77.83,heavy intensity rain,9.1924,117.8141,Toledo
593,Manavalakurichi,IN,82.49,clear sky,8.1333,77.3,Udaya Boys Hostel
594,Georgiyevka,KZ,84.24,clear sky,43.0369,74.7114,Gostinitsa Imperiya
595,Kulhudhuffushi,MV,82.6,few clouds,6.6221,73.07,Hondaafushi Island Resort
598,Maumere,ID,78.04,overcast clouds,-8.6199,122.2111,Sylvia Hotel
599,Male,MV,84.15,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
601,Nassau,US,78.17,few clouds,40.7507,-73.5829,Hilton Garden Inn Westbury
602,Haltern,DE,83.79,clear sky,51.743,7.1816,Ratshotel
608,Aden,YE,89.4,few clouds,12.7794,45.0367,Sama Emirate Hotel
612,Laguna,US,84.7,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
615,Soyo,AO,84.25,scattered clouds,-6.1349,12.3689,Hotel Mpampa
617,Caucaia,BR,87.75,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
622,Vanimo,PG,78.17,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
